,file_name_data,vocal_label,gender_label,type_of_data_label,gender_label_transformed,vocal_label_mapped
29,a/f2_arepggios_c_fast_piano_a,a,f,arepggios,1.0,0
30,a/m9_long_pp_a,a,m,long,0.0,0
32,a/f9_arpeggios_breathy_a,a,f,arpeggios,1.0,0
33,a/m5_scales_f_fast_piano_a,a,m,scales,0.0,0
34,a/m2_arpeggios_c_fast_forte_a,a,m,arpeggios,0.0,0
35,a/f4_scales_belt_a,a,f,scales,1.0,0
36,a/f9_long_trillo_a,a,f,long,1.0,0
37,a/m5_long_forte_a,a,m,long,0.0,0
38,a/m1_arpeggios_f_fast_forte_a,a,m,arpeggios,0.0,0
39,a/m11_scales_straight_a,a,m,scales,0.0,0
40,a/f1_arpeggios_lip_trill_a,a,f,arpeggios,1.0,0
41,a/f7_scales_lip_trill_a,a,f,scales,1.0,0
42,a/m6_scales_c_fast_forte_a,a,m,scales,0.0,0
43,a/f3_scales_straight_a,a,f,scales,1.0,0
44,a/f8_scales_c_slow_forte_a,a,f,scales,1.0,0
45,a/f7_long_inhaled_a,a,f,long,1.0,0
46,a/m3_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
47,a/m1_long_forte_a,a,m,long,0.0,0
48,a/m10_arpeggios_c_fast_forte_a,a,m,arpeggios,0.0,0
49,a/m5_scales_vocal_fry_a,a,m,scales,0.0,0
50,a/m9_scales_c_slow_piano_a,a,m,scales,0.0,0
51,a/f5_arpeggios_lip_trill_a,a,f,arpeggios,1.0,0
52,a/m4_arpeggios_c_slow_forte_a,a,m,arpeggios,0.0,0
53,a/f3_arpeggios_c_fast_forte_a,a,f,arpeggios,1.0,0
54,a/m2_arpeggios_straight_a,a,m,arpeggios,0.0,0
55,a/m1_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
56,a/m7_scales_f_fast_forte_a,a,m,scales,0.0,0
57,a/m6_arpeggios_breathy_a,a,m,arpeggios,0.0,0
58,a/m5_arpeggios_straight_a,a,m,arpeggios,0.0,0
59,a/f6_scales_c_fast_forte_a,a,f,scales,1.0,0
60,a/f2_scales_c_slow_piano_a,a,f,scales,1.0,0
61,a/f4_arpeggios_c_fast_forte_a,a,f,arpeggios,1.0,0
62,a/m7_arpeggios_f_fast_piano_a,a,m,arpeggios,0.0,0
63,a/f8_arpeggios_c_slow_piano_a,a,f,arpeggios,1.0,0
64,a/m1_arpeggios_belt_a,a,m,arpeggios,0.0,0
65,a/f3_long_inhaled_a,a,f,long,1.0,0
66,a/m11_scales_c_slow_forte_a,a,m,scales,0.0,0
67,a/m5_arpeggios_vocal_fry_a,a,m,arpeggios,0.0,0
68,a/m11_scales_f_slow_forte_a,a,m,scales,0.0,0
69,a/m5_scales_straight_a,a,m,scales,0.0,0
70,a/m6_scales_f_slow_forte_a,a,m,scales,0.0,0
71,a/m2_long_forte_a,a,m,long,0.0,0
72,a/m3_arpeggios_f_fast_forte_a,a,m,arpeggios,0.0,0
73,a/m3_scales_straight_a,a,m,scales,0.0,0
74,a/m5_long_trillo_a,a,m,long,0.0,0
75,a/f8_arpeggios_f_slow_piano_a,a,f,arpeggios,1.0,0
76,a/m10_arpeggios_vibrato_a,a,m,arpeggios,0.0,0
77,a/m3_scales_breathy_a,a,m,scales,0.0,0
78,a/m4_arpeggios_f_fast_forte_a,a,m,arpeggios,0.0,0
79,a/f5_scales_c_slow_forte_a,a,f,scales,1.0,0
80,a/m3_long_inhaled_a,a,m,long,0.0,0
81,a/m6_scales_lip_trill_a,a,m,scales,0.0,0
82,a/f9_scales_vibrato_a,a,f,scales,1.0,0
83,a/f5_long_inhaled_a,a,f,long,1.0,0
84,a/m5_long_messa_a,a,m,long,0.0,0
85,a/f9_long_messa_a,a,f,long,1.0,0
86,a/m5_scales_c_slow_forte_a,a,m,scales,0.0,0
87,a/f2_arpeggios_lip_trill_a,a,f,arpeggios,1.0,0
88,a/m8_arpeggios_vibrato_a,a,m,arpeggios,0.0,0
89,a/f6_long_forte_a,a,f,long,1.0,0
90,a/f7_scales_vocal_fry_a,a,f,scales,1.0,0
91,a/f5_long_forte_a,a,f,long,1.0,0
92,a/m3_long_messa_a,a,m,long,0.0,0
93,a/f9_scales_f_slow_forte_a,a,f,scales,1.0,0
94,a/f5_arpeggios_c_slow_forte_a,a,f,arpeggios,1.0,0
95,a/f2_arpeggios_f_slow_piano_a,a,f,arpeggios,1.0,0
96,a/m9_long_forte_a,a,m,long,0.0,0
97,a/f7_scales_f_slow_forte_a,a,f,scales,1.0,0
98,a/m7_scales_belt_a,a,m,scales,0.0,0
99,a/m6_long_trill_a,a,m,long,0.0,0
100,a/f8_arpeggios_f_fast_piano_a,a,f,arpeggios,1.0,0
101,a/f4_scales_lip_trill_a,a,f,scales,1.0,0
102,a/f6_scales_f_slow_forte_a,a,f,scales,1.0,0
103,a/m6_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
104,a/m7_scales_c_slow_piano_a,a,m,scales,0.0,0
105,a/m5_long_straight_a,a,m,long,0.0,0
106,a/m1_arpeggios_breathy_a,a,m,arpeggios,0.0,0
107,a/m2_arpeggios_f_slow_piano_a,a,m,arpeggios,0.0,0
108,a/f6_arpeggios_f_slow_piano_a,a,f,arpeggios,1.0,0
109,a/f7_scales_belt_a,a,f,scales,1.0,0
110,a/m3_arpeggios_belt_a,a,m,arpeggios,0.0,0
111,a/f7_arpeggios_c_fast_piano_a,a,f,arpeggios,1.0,0
112,a/f1_arpeggios_straight_a,a,f,arpeggios,1.0,0
113,a/m1_arpeggios_c_fast_piano_a,a,m,arpeggios,0.0,0
114,a/f7_scales_breathy_a,a,f,scales,1.0,0
115,a/m1_scales_c_slow_forte_a,a,m,scales,0.0,0
116,a/m4_arpeggios_c_slow_piano_a,a,m,arpeggios,0.0,0
117,a/f5_scales_breathy_a,a,f,scales,1.0,0
118,a/m9_arpeggios_c_slow_forte_a,a,m,arpeggios,0.0,0
119,a/m9_scales_c_fast_piano_a,a,m,scales,0.0,0
120,a/m9_arpeggios_c_fast_forte_a,a,m,arpeggios,0.0,0
121,a/f6_scales_c_fast_piano_a,a,f,scales,1.0,0
122,a/f9_arpeggios_vibrato_a,a,f,arpeggios,1.0,0
123,a/m8_arpeggios_vocal_fry_a,a,m,arpeggios,0.0,0
124,a/m6_scales_c_fast_piano_a,a,m,scales,0.0,0
125,a/m5_long_inhaled_a,a,m,long,0.0,0
126,a/m3_arpeggios_f_slow_forte_a,a,m,arpeggios,0.0,0
127,a/m3_scales_f_fast_forte_a,a,m,scales,0.0,0
128,a/f1_scales_c_slow_piano_a,a,f,scales,1.0,0
129,a/m7_arpeggios_vibrato_a,a,m,arpeggios,0.0,0
130,a/m10_long_pp_a,a,m,long,0.0,0
131,a/f6_scales_f_fast_piano_a,a,f,scales,1.0,0
132,a/m8_arpeggios_f_fast_forte_a,a,m,arpeggios,0.0,0
133,a/f7_long_trill_a,a,f,long,1.0,0
134,a/f3_scales_belt_a,a,f,scales,1.0,0
135,a/m11_scales_belt_a,a,m,scales,0.0,0
136,a/m10_scales_c_fast_forte_a,a,m,scales,0.0,0
137,a/f5_arpeggios_f_fast_piano_a,a,f,arpeggios,1.0,0
138,a/f4_scales_c_fast_piano_a,a,f,scales,1.0,0
139,a/f9_arpeggios_c_slow_piano_a,a,f,arpeggios,1.0,0
140,a/f8_arpeggios_c_fast_piano_a,a,f,arpeggios,1.0,0
141,a/m10_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
142,a/f2_scales_straight_a,a,f,scales,1.0,0
143,a/m5_arpeggios_f_slow_piano_a,a,m,arpeggios,0.0,0
144,a/f6_arpeggios_vibrato_a,a,f,arpeggios,1.0,0
145,a/f4_arpeggios_lip_trill_a,a,f,arpeggios,1.0,0
146,a/m10_scales_c_slow_forte_a,a,m,scales,0.0,0
147,a/f4_long_messa_a,a,f,long,1.0,0
148,a/m7_arpeggios_f_slow_forte_a,a,m,arpeggios,0.0,0
149,a/f5_scales_straight_a,a,f,scales,1.0,0
150,a/f9_arpeggios_c_slow_forte_a,a,f,arpeggios,1.0,0
151,a/f3_scales_f_slow_piano_a,a,f,scales,1.0,0
152,a/m3_scales_f_slow_forte_a,a,m,scales,0.0,0
153,a/m7_long_trillo_a,a,m,long,0.0,0
154,a/m4_scales_c_fast_piano_a,a,m,scales,0.0,0
155,a/m11_arpeggios_c_slow_forte_a,a,m,arpeggios,0.0,0
156,a/f3_scales_lip_trill_a,a,f,scales,1.0,0
157,a/f8_arpeggios_c_slow_forte_a,a,f,arpeggios,1.0,0
158,a/m9_arpeggios_belt_a,a,m,arpeggios,0.0,0
159,a/f8_long_straight_a,a,f,long,1.0,0
160,a/m3_scales_c_slow_forte_a,a,m,scales,0.0,0
161,a/f4_scales_vibrato_a,a,f,scales,1.0,0
162,a/m2_arpeggios_c_slow_forte_a,a,m,arpeggios,0.0,0
163,a/m2_arpeggios_f_fast_forte_a,a,m,arpeggios,0.0,0
164,a/f6_scales_straight_a,a,f,scales,1.0,0
165,a/m6_long_straight_a,a,m,long,0.0,0
166,a/m5_arpeggios_vibrato_a,a,m,arpeggios,0.0,0
167,a/f3_scales_f_fast_forte_a,a,f,scales,1.0,0
168,a/m2_long_inhaled_a,a,m,long,0.0,0
169,a/m2_arpeggios_breathy_a,a,m,arpeggios,0.0,0
170,a/m7_arpeggios_f_fast_forte_a,a,m,arpeggios,0.0,0
171,a/f2_long_inhaled_a,a,f,long,1.0,0
172,a/m11_arpeggios_c_fast_forte_a,a,m,arpeggios,0.0,0
173,a/m11_scales_f_slow_piano_a,a,m,scales,0.0,0
174,a/f6_long_straight_a,a,f,long,1.0,0
175,a/m7_scales_lip_trill_a,a,m,scales,0.0,0
176,a/m3_scales_lip_trill_a,a,m,scales,0.0,0
177,a/f7_scales_f_fast_forte_a,a,f,scales,1.0,0
178,a/m11_scales_breathy_a,a,m,scales,0.0,0
179,a/f3_scales_vibrato_a,a,f,scales,1.0,0
180,a/f9_arpeggios_lip_trill_a,a,f,arpeggios,1.0,0
181,a/m7_arpeggios_breathy_a,a,m,arpeggios,0.0,0
182,a/m4_long_forte_a,a,m,long,0.0,0
183,a/m8_scales_c_sow_forte_a,a,m,scales,0.0,0
184,a/m6_scales_c_slow_forte_a,a,m,scales,0.0,0
185,a/m5_scales_f_slow_piano_a,a,m,scales,0.0,0
186,a/m2_scales_f_fast_forte_a,a,m,scales,0.0,0
187,a/f7_long_forte_a,a,f,long,1.0,0
188,a/m9_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
189,a/m9_scales_f_slow_piano_a,a,m,scales,0.0,0
190,a/m4_scales_f_slow_forte_a,a,m,scales,0.0,0
191,a/f4_arpeggios_c_slow_piano_a,a,f,arpeggios,1.0,0
192,a/m1_arpeggios_f_fast_piano_a,a,m,arpeggios,0.0,0
193,a/m2_scales_belt_a,a,m,scales,0.0,0
194,a/f7_arpeggios_c_slow_piano_a,a,f,arpeggios,1.0,0
196,a/m5_long_pp_a,a,m,long,0.0,0
197,a/f3_arpeggios_c_fast_piano_a,a,f,arpeggios,1.0,0
198,a/m8_scales_belt_a,a,m,scales,0.0,0
199,a/f9_scales_lip_trill_a,a,f,scales,1.0,0
200,a/m11_scales_lip_trill_a,a,m,scales,0.0,0
201,a/f1_arpeggios_c_fast_piano_a,a,f,arpeggios,1.0,0
202,a/f5_scales_f_fast_piano_a,a,f,scales,1.0,0
203,a/f4_scales_vocal_fry_a,a,f,scales,1.0,0
204,a/m4_arpeggios_vocal_fry_a,a,m,arpeggios,0.0,0
205,a/m6_arpeggios_belt_a,a,m,arpeggios,0.0,0
206,a/m1_scales_vibrato_a,a,m,scales,0.0,0
207,a/f1_arpeggios_breathy_a,a,f,arpeggios,1.0,0
208,a/f3_arpeggios_breathy_a,a,f,arpeggios,1.0,0
209,a/m6_long_messa_a,a,m,long,0.0,0
210,a/m6_long_inhaled_a,a,m,long,0.0,0
211,a/m8_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
212,a/m6_arpeggios_vibrato_a,a,m,arpeggios,0.0,0
213,a/f5_long_pp_a,a,f,long,1.0,0
214,a/m10_long_messa_a,a,m,long,0.0,0
215,a/f6_scales_vibrato_a,a,f,scales,1.0,0
216,a/f9_long_pp_a,a,f,long,1.0,0
217,a/m8_long_straight_a,a,m,long,0.0,0
218,a/m9_scales_vibrato_a,a,m,scales,0.0,0
219,a/m4_scales_f_slow_piano_a,a,m,scales,0.0,0
220,a/f1_long_inhaled_a,a,f,long,1.0,0
221,a/f9_scales_straight_a,a,f,scales,1.0,0
222,a/f5_scales_vocal_fry_a,a,f,scales,1.0,0
223,a/m11_scales_f_fast_piano_a,a,m,scales,0.0,0
224,a/m8_scales_c_fast_piano_a,a,m,scales,0.0,0
225,a/m1_scales_c_fast_forte_a,a,m,scales,0.0,0
226,a/m9_scales_belt_a,a,m,scales,0.0,0
227,a/f9_arpeggios_f_fast_forte_a,a,f,arpeggios,1.0,0
228,a/m11_arpeggios_vocal_fry_a,a,m,arpeggios,0.0,0
229,a/f6_arpeggios_c_slow_forte_a,a,f,arpeggios,1.0,0
230,a/m7_arpeggios_straight_a,a,m,arpeggios,0.0,0
231,a/f6_arpeggios_breathy_a,a,f,arpeggios,1.0,0
232,a/f8_arpeggios_vocal_fry_a,a,f,arpeggios,1.0,0
233,a/f2_arepggios_c_fast_forte_a,a,f,arepggios,1.0,0
234,a/m3_scales_vibrato_a,a,m,scales,0.0,0
235,a/f1_scales_vocal_fry_a,a,f,scales,1.0,0
236,a/f9_arpeggios_f_slow_piano_a,a,f,arpeggios,1.0,0
237,a/m11_scales_vocal_fry_a,a,m,scales,0.0,0
239,a/f2_scales_belt_a,a,f,scales,1.0,0
240,a/m4_long_pp_a,a,m,long,0.0,0
241,a/f2_long_forte_a,a,f,long,1.0,0
242,a/f6_arpeggios_c_slow_piano_a,a,f,arpeggios,1.0,0
243,a/f3_arpeggios_f_slow_forte_a,a,f,arpeggios,1.0,0
244,a/f7_scales_c_slow_piano_a,a,f,scales,1.0,0
245,a/m6_long_trillo_a,a,m,long,0.0,0
246,a/f1_arpeggios_c_slow_piano_a,a,f,arpeggios,1.0,0
247,a/f3_scales_c_fast_forte_a,a,f,scales,1.0,0
248,a/m9_arpeggios_c_slow_piano_a,a,m,arpeggios,0.0,0
249,a/m11_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
250,a/m5_scales_c_fast_forte_a,a,m,scales,0.0,0
251,a/f3_scales_f_fast_piano_a,a,f,scales,1.0,0
252,a/f9_scales_c_fast_piano_a,a,f,scales,1.0,0
253,a/m9_scales_lip_trill_a,a,m,scales,0.0,0
254,a/f9_arpeggios_f_fast_piano_a,a,f,arpeggios,1.0,0
255,a/m2_scales_f_slow_piano_a,a,m,scales,0.0,0
256,a/f1_long_straight_a,a,f,long,1.0,0
257,a/m4_arpeggios_c_fast_piano_a,a,m,arpeggios,0.0,0
258,a/f3_long_straight_a,a,f,long,1.0,0
259,a/m7_arpeggios_f_slow_piano_a,a,m,arpeggios,0.0,0
260,a/m4_scales_vibrato_a,a,m,scales,0.0,0
261,a/m5_arpeggios_f_fast_forte_a,a,m,arpeggios,0.0,0
262,a/m4_long_trillo_a,a,m,long,0.0,0
263,a/f1_long_trillo_a,a,f,long,1.0,0
264,a/m5_arpeggios_c_slow_piano_a,a,m,arpeggios,0.0,0
265,a/m9_scales_c_fast_forte_a,a,m,scales,0.0,0
266,a/m1_arpeggios_c_slow_piano_a,a,m,arpeggios,0.0,0
267,a/f1_scales_straight_a,a,f,scales,1.0,0
268,a/m3_scales_c_fast_forte_a,a,m,scales,0.0,0
269,a/f9_long_trill_a,a,f,long,1.0,0
270,a/f8_scales_lip_trill_a,a,f,scales,1.0,0
271,a/m7_arpeggios_c_fast_forte_a,a,m,arpeggios,0.0,0
272,a/m7_arpeggios_vocal_fry_a,a,m,arpeggios,0.0,0
273,a/f2_arpeggios_breathy_a,a,f,arpeggios,1.0,0
274,a/m2_scales_c_slow_piano_a,a,m,scales,0.0,0
275,a/f1_arpeggios_belt_c_a,a,f,arpeggios,1.0,0
276,a/m2_scales_vocal_fry_a,a,m,scales,0.0,0
277,a/f1_scales_belt_a,a,f,scales,1.0,0
278,a/m1_long_straight_a,a,m,long,0.0,0
279,a/f5_scales_belt_a,a,f,scales,1.0,0
280,a/m3_scales_c_slow_piano_a,a,m,scales,0.0,0
281,a/m7_scales_straight_a,a,m,scales,0.0,0
282,a/f3_long_trill_a,a,f,long,1.0,0
283,a/m4_scales_f_fast_forte_a,a,m,scales,0.0,0
284,a/f5_arpeggios_f_slow_piano_a,a,f,arpeggios,1.0,0
285,a/m2_scales_breathy_a,a,m,scales,0.0,0
286,a/m1_scales_breathy_a,a,m,scales,0.0,0
287,a/m9_scales_f_slow_forte_a,a,m,scales,0.0,0
288,a/f4_long_trillo_a,a,f,long,1.0,0
289,a/f1_long_messa_a,a,f,long,1.0,0
290,a/m3_arpeggios_vibrato_a,a,m,arpeggios,0.0,0
291,a/f6_arpeggios_straight_a,a,f,arpeggios,1.0,0
292,a/m7_scales_vocal_fry_a,a,m,scales,0.0,0
293,a/f8_scales_f_slow_piano_a,a,f,scales,1.0,0
294,a/m9_scales_vocal_fry_a,a,m,scales,0.0,0
295,a/f5_arpeggios_c_fast_piano_a,a,f,arpeggios,1.0,0
296,a/f2_scales_c_fast_forte_a,a,f,scales,1.0,0
297,a/m8_scales_lip_trill_a,a,m,scales,0.0,0
298,a/f3_scales_f_slow_forte_a,a,f,scales,1.0,0
299,a/m7_arpeggios_c_slow_forte_a,a,m,arpeggios,0.0,0
300,a/m11_scales_c_slow_piano_a,a,m,scales,0.0,0
301,a/m10_scales_belt_a,a,m,scales,0.0,0
302,a/m9_scales_f_fast_piano_a,a,m,scales,0.0,0
303,a/m1_long_trillo_a,a,m,long,0.0,0
304,a/f8_arpeggios_vibrato_a,a,f,arpeggios,1.0,0
305,a/f8_long_inhaled_a,a,f,long,1.0,0
306,a/m11_long_pp_a,a,m,long,0.0,0
307,a/f9_scales_belt_a,a,f,scales,1.0,0
308,a/m5_scales_belt_a,a,m,scales,0.0,0
309,a/m9_arpeggios_straight_a,a,m,arpeggios,0.0,0
310,a/m9_long_messa_a,a,m,long,0.0,0
311,a/m8_long_trillo_a,a,m,long,0.0,0
312,a/f7_long_messa_a,a,f,long,1.0,0
313,a/m1_scales_c_slow_piano_a,a,m,scales,0.0,0
314,a/f2_arpeggios_vibrato_a,a,f,arpeggios,1.0,0
315,a/m1_scales_f_fast_piano_a,a,m,scales,0.0,0
316,a/f6_arpeggios_c_fast_piano_a,a,f,arpeggios,1.0,0
317,a/f3_long_forte_a,a,f,long,1.0,0
318,a/m2_arpeggios_c_fast_piano_a,a,m,arpeggios,0.0,0
319,a/m8_arpeggios_f_slow_forte_a,a,m,arpeggios,0.0,0
320,a/m7_scales_f_slow_forte_a,a,m,scales,0.0,0
321,a/f8_scales_c_fast_piano_a,a,f,scales,1.0,0
322,a/f5_arpeggios_f_fast_forte_a,a,f,arpeggios,1.0,0
323,a/m9_long_trill_a,a,m,long,0.0,0
324,a/m4_long_messa_a,a,m,long,0.0,0
325,a/f9_scales_f_fast_piano_a,a,f,scales,1.0,0
326,a/f5_long_trill_a,a,f,long,1.0,0
327,a/m10_arpeggios_f_slow_piano_a,a,m,arpeggios,0.0,0
328,a/m8_scales_f_sow_forte_a,a,m,scales,0.0,0
329,a/f7_long_pp_a,a,f,long,1.0,0
330,a/f1_scales_f_fast_forte_a,a,f,scales,1.0,0
331,a/f3_arpeggios_lip_trill_a,a,f,arpeggios,1.0,0
332,a/f3_arpeggios_c_slow_forte_a,a,f,arpeggios,1.0,0
333,a/m1_scales_f_slow_piano_a,a,m,scales,0.0,0
334,a/f8_arpeggios_belt_a,a,f,arpeggios,1.0,0
335,a/m3_arpeggios_f_fast_piano_a,a,m,arpeggios,0.0,0
336,a/m3_scales_c_fast_piano_a,a,m,scales,0.0,0
337,a/f8_arpeggios_breathy_a,a,f,arpeggios,1.0,0
338,a/f7_scales_c_fast_forte_a,a,f,scales,1.0,0
339,a/f1_scales_f_slow_forte_a,a,f,scales,1.0,0
340,a/m3_arpeggios_breathy_a,a,m,arpeggios,0.0,0
341,a/f6_arpeggios_c_fast_forte_a,a,f,arpeggios,1.0,0
342,a/m5_arpeggios_f_fast_piano_a,a,m,arpeggios,0.0,0
343,a/m3_arpeggios_vocal_fry_a,a,m,arpeggios,0.0,0
344,a/f1_scales_f_slow_piano_a,a,f,scales,1.0,0
345,a/f7_ long_trillo_a,a,f, long,1.0,0
346,a/m2_arpeggios_c_slow_piano_a,a,m,arpeggios,0.0,0
347,a/f3_arpeggios_f_fast_piano_a,a,f,arpeggios,1.0,0
348,a/m5_arpeggios_c_fast_piano_a,a,m,arpeggios,0.0,0
349,a/m9_arpeggios_f_fast_forte_a,a,m,arpeggios,0.0,0
350,a/m7_scales_c_slow_forte_a,a,m,scales,0.0,0
351,a/f3_long_trillo_a,a,f,long,1.0,0
352,a/m4_arpeggios_belt_a,a,m,arpeggios,0.0,0
353,a/m7_long_pp_a,a,m,long,0.0,0
354,a/m8_arpeggios_breathy_a,a,m,arpeggios,0.0,0
355,a/m11_arpeggios_f_slow_piano_a,a,m,arpeggios,0.0,0
356,a/m9_arpeggios_f_slow_piano_a,a,m,arpeggios,0.0,0
357,a/m7_arpeggios_c_fast_piano_a,a,m,arpeggios,0.0,0
358,a/m2_arpeggios_f_slow_forte_a,a,m,arpeggios,0.0,0
359,a/m3_scales_f_slow_piano_a,a,m,scales,0.0,0
360,a/f1_scales_c_fast_forte_a,a,f,scales,1.0,0
361,a/m5_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
362,a/m7_long_messa_a,a,m,long,0.0,0
363,a/m10_arpeggios_f_slow_forte_a,a,m,arpeggios,0.0,0
364,a/m4_scales_c_fast_forte_a,a,m,scales,0.0,0
365,a/m3_long_trillo_a,a,m,long,0.0,0
366,a/f8_scales_f_fast_forte_a,a,f,scales,1.0,0
367,a/m10_scales_f_slow_forte_a,a,m,scales,0.0,0
368,a/f5_long_straight_a,a,f,long,1.0,0
369,a/m3_arpeggios_c_fast_forte_a,a,m,arpeggios,0.0,0
370,a/m9_arpeggios_f_slow_forte_a,a,m,arpeggios,0.0,0
371,a/m8_arpeggios_belt_a,a,m,arpeggios,0.0,0
372,a/f7_scales_f_slow_piano_a,a,f,scales,1.0,0
373,a/m2_arpeggios_f_fast_piano_a,a,m,arpeggios,0.0,0
374,a/m8_scales_straight_a,a,m,scales,0.0,0
375,a/m2_long_straight_a,a,m,long,0.0,0
376,a/f1_long_pp_a,a,f,long,1.0,0
377,a/m4_scales_f_fast_piano_a,a,m,scales,0.0,0
378,a/f6_arpeggios_belt_2_a,a,f,arpeggios,1.0,0
379,a/m6_scales_c_slow_piano_a,a,m,scales,0.0,0
380,a/m6_long_pp_a,a,m,long,0.0,0
381,a/f2_scales_vibrato_a,a,f,scales,1.0,0
382,a/f4_arpeggios_vocal_fry_a,a,f,arpeggios,1.0,0
383,a/m2_scales_c_fast_forte_a,a,m,scales,0.0,0
384,a/m2_scales_f_fast_piano_a,a,m,scales,0.0,0
385,a/m8_long_pp_a,a,m,long,0.0,0
386,a/f6_long_inhaled_a,a,f,long,1.0,0
387,a/f7_scales_f_fast_piano_a,a,f,scales,1.0,0
388,a/f5_scales_f_slow_piano_a,a,f,scales,1.0,0
389,a/m2_scales_lip_trill_a,a,m,scales,0.0,0
390,a/f6_arpeggios_f_fast_forte_a,a,f,arpeggios,1.0,0
391,a/f8_arpeggios_straight_a,a,f,arpeggios,1.0,0
392,a/f7_arpeggios_c_slow_forte_a,a,f,arpeggios,1.0,0
393,a/m6_scales_breathy_a,a,m,scales,0.0,0
394,a/m8_scales_vocal_fry_a,a,m,scales,0.0,0
395,a/f2_scales_f_fast_piano_a,a,f,scales,1.0,0
396,a/f2_long_straight_a,a,f,long,1.0,0
397,a/m7_long_inhaled_a,a,m,long,0.0,0
398,a/f9_long_inhaled_a,a,f,long,1.0,0
399,a/m2_long_trill_a,a,m,long,0.0,0
400,a/f2_arpeggios_c_slow_piano_a,a,f,arpeggios,1.0,0
401,a/m10_scales_f_slow_piano_a,a,m,scales,0.0,0
402,a/m10_arpeggios_c_fast_piano_a,a,m,arpeggios,0.0,0
403,a/f7_long_straight_a,a,f,long,1.0,0
404,a/m9_arpeggios_vocal_fry_a,a,m,arpeggios,0.0,0
405,a/f6_scales_breathy_a,a,f,scales,1.0,0
406,a/m2_scales_c_slow_forte_a,a,m,scales,0.0,0
407,a/f2_scales_f_slow_piano_a,a,f,scales,1.0,0
408,a/m9_arpeggios_breathy_a,a,m,arpeggios,0.0,0
409,a/m4_scales_straight_a,a,m,scales,0.0,0
410,a/m4_arpeggios_f_slow_piano_a,a,m,arpeggios,0.0,0
411,a/m4_scales_breathy_a,a,m,scales,0.0,0
412,a/m5_scales_f_slow_forte_a,a,m,scales,0.0,0
413,a/f5_arpeggios_c_fast_forte_a,a,f,arpeggios,1.0,0
414,a/f4_arpeggios_breathy_a,a,f,arpeggios,1.0,0
415,a/m4_scales_belt_a,a,m,scales,0.0,0
416,a/f6_scales_c_slow_forte_a,a,f,scales,1.0,0
417,a/f2_arepggios_f_fast_piano_a,a,f,arepggios,1.0,0
418,a/m2_arpeggios_lip_trill_a,a,m,arpeggios,0.0,0
419,a/f8_scales_breathy_a,a,f,scales,1.0,0
420,a/f5_scales_f_slow_forte_a,a,f,scales,1.0,0
421,a/m3_arpeggios_straight_a,a,m,arpeggios,0.0,0
422,a/m11_long_messa_a,a,m,long,0.0,0
423,a/f4_arpeggios_f_slow_forte_a,a,f,arpeggios,1.0,0
